acoustic_data,time_to_failure
12,1.469099983
6,1.469099982
8,1.469099981
5,1.46909998
8,1.469099979
8,1.469099978
9,1.469099977
7,1.469099976
-5,1.469099974
3,1.469099973
5,1.469099972
2,1.469099971
2,1.46909997
3,1.469099969
-1,1.469099968
5,1.469099967
6,1.469099966
4,1.469099965
3,1.469099963
5,1.469099962
4,1.469099961
2,1.46909996
6,1.469099959
7,1.469099958
7,1.469099957
8,1.469099956
14,1.469099955
9,1.469099954
4,1.469099952
7,1.469099951
4,1.46909995
3,1.469099949
4,1.469099948
8,1.469099947
6,1.469099946
4,1.469099945
11,1.469099944
9,1.469099943
4,1.469099941
3,1.46909994
0,1.469099939
3,1.469099938
6,1.469099937
3,1.469099936
4,1.469099935
2,1.469099934
3,1.469099933
10,1.469099932
6,1.46909993
8,1.469099929
11,1.469099928
11,1.469099927
11,1.469099926
2,1.469099925
9,1.469099924
7,1.469099923
3,1.469099922
8,1.469099921
7,1.469099919
4,1.469099918
4,1.469099917
0,1.469099916
-4,1.469099915
2,1.469099914
5,1.469099913
4,1.469099912
4,1.469099911
6,1.46909991
9,1.469099908
6,1.469099907
6,1.469099906
0,1.469099905
4,1.469099904
7,1.469099903
4,1.469099902
3,1.469099901
5,1.4690999
7,1.469099899
3,1.469099897
6,1.469099896
6,1.469099895
7,1.469099894
8,1.469099893
8,1.469099892
13,1.469099891
8,1.46909989
9,1.469099889
6,1.469099888
6,1.469099886
-2,1.469099885
1,1.469099884
2,1.469099883
3,1.469099882
6,1.469099881
11,1.46909988
9,1.469099879
9,1.469099878
12,1.469099877
9,1.469099875
9,1.469099874
-1,1.469099873
1,1.469099872
4,1.469099871
1,1.46909987
1,1.469099869
3,1.469099868
1,1.469099867
1,1.469099866
6,1.469099864
7,1.469099863
6,1.469099862
5,1.469099861
4,1.46909986
8,1.469099859
6,1.469099858
7,1.469099857
10,1.469099856
7,1.469099855
3,1.469099853
5,1.469099852
4,1.469099851
7,1.46909985
3,1.469099849
2,1.469099848
-1,1.469099847
1,1.469099846
7,1.469099845
8,1.469099844
7,1.469099842
8,1.469099841
3,1.46909984
3,1.469099839
5,1.469099838
7,1.469099837
7,1.469099836
4,1.469099835
1,1.469099834
2,1.469099833
5,1.469099831
5,1.46909983
5,1.469099829
3,1.469099828
4,1.469099827
6,1.469099826
6,1.469099825
10,1.469099824
13,1.469099823
12,1.469099822
5,1.46909982
9,1.469099819
3,1.469099818
0,1.469099817
-4,1.469099816
2,1.469099815
4,1.469099814
6,1.469099813
7,1.469099812
9,1.469099811
8,1.469099809
15,1.469099808
11,1.469099807
7,1.469099806
7,1.469099805
11,1.469099804
7,1.469099803
5,1.469099802
-1,1.469099801
-4,1.4690998
0,1.469099798
-1,1.469099797
3,1.469099796
4,1.469099795
5,1.469099794
8,1.469099793
7,1.469099792
8,1.469099791
7,1.46909979
7,1.469099789
8,1.469099787
5,1.469099786
4,1.469099785
7,1.469099784
6,1.469099783
5,1.469099782
2,1.469099781
3,1.46909978
3,1.469099779
7,1.469099778
6,1.469099776
3,1.469099775
1,1.469099774
3,1.469099773
6,1.469099772
2,1.469099771
7,1.46909977
6,1.469099769
4,1.469099768
7,1.469099767
6,1.469099765
5,1.469099764
7,1.469099763
1,1.469099762
0,1.469099761
3,1.46909976
8,1.469099759
7,1.469099758
8,1.469099757
10,1.469099756
12,1.469099754
9,1.469099753
10,1.469099752
8,1.469099751
10,1.46909975
6,1.469099749
-1,1.469099748
0,1.469099747
2,1.469099746
-1,1.469099745
-4,1.469099743
-2,1.469099742
1,1.469099741
4,1.46909974
5,1.469099739
1,1.469099738
2,1.469099737
6,1.469099736
10,1.469099735
10,1.469099734
8,1.469099732
5,1.469099731
6,1.46909973
6,1.469099729
8,1.469099728
5,1.469099727
2,1.469099726
2,1.469099725
5,1.469099724
3,1.469099723
